,id_str_brand,senti_score_pos_brand,senti_score_neu_brand,senti_score_neg_brand,senti_score_com_brand,id_str_comment,senti_score_pos_comment,senti_score_neu_comment,senti_score_neg_comment,senti_score_com_comment
62,582995798566178816,0.0,1.0,0.0,0.0,589152835297751040,0.0,1.0,0.0,0.0
63,580444607143546880,0.133,0.867,0.0,0.3182,580588373963849729,0.099,0.901,0.0,0.3182
64,577877161958207488,0.2185,0.7815,0.0,0.39505,578057792189149184,0.0,1.0,0.0,0.0
65,577152294115942400,0.381,0.619,0.0,0.5719,577301878104436736,0.338,0.662,0.0,0.8481
66,576480615295389696,0.184,0.816,0.0,0.4019,582354861968265216,0.0,0.0,0.0,0.0
67,576480615295389696,0.184,0.816,0.0,0.4019,583406541941903360,0.0,1.0,0.0,0.0
68,576480219671887873,0.0,1.0,0.0,0.0,585635294495559680,0.59,0.41,0.0,0.7351
69,576480219671887873,0.0,1.0,0.0,0.0,584734864424964096,0.0,1.0,0.0,0.0
70,576480219671887873,0.0,1.0,0.0,0.0,586011495290404864,0.0,1.0,0.0,0.0
71,576480219671887873,0.0,1.0,0.0,0.0,586206029924302848,0.0,1.0,0.0,0.0
72,576480219671887873,0.0,1.0,0.0,0.0,588444988876324864,0.0,0.0,0.0,0.0
73,576480219671887873,0.0,1.0,0.0,0.0,589830772758020096,0.0,1.0,0.0,0.0
74,576480219671887873,0.0,1.0,0.0,0.0,591145089398870016,0.0,1.0,0.0,0.0
75,576480219671887873,0.0,1.0,0.0,0.0,591267310381367296,0.0,1.0,0.0,0.0
76,576480111207133184,0.2365,0.7635000000000001,0.0,0.20015,587786300784152576,0.0,1.0,0.0,0.0
77,576480111207133184,0.2365,0.7635000000000001,0.0,0.20015,588540744081649664,0.4215,0.0785,0.0,0.3741
78,571739115974098944,0.0,1.0,0.0,0.0,571752877531791363,0.0,1.0,0.0,0.0
79,561597288414326784,0.0,1.0,0.0,0.0,562406800763654144,0.0,0.0,0.0,0.0
80,559063107805257728,0.0,1.0,0.0,0.0,559073322634584064,0.0,1.0,0.0,0.0
81,559063107805257728,0.0,1.0,0.0,0.0,562810873472114688,0.0,1.0,0.0,0.0
82,556511353368616960,0.0,1.0,0.0,0.0,556532812879511552,0.0,1.0,0.0,0.0
83,555070676495638528,0.2365,0.7635000000000001,0.0,0.20015,556335151350022144,0.0,1.0,0.0,0.0
84,555069644910776321,0.2365,0.7635000000000001,0.0,0.20015,555192542791086080,0.0,1.0,0.0,0.0
85,550365802046570497,0.0,1.0,0.0,0.0,550660107928084481,0.596,0.404,0.0,0.8842
86,546017942123450368,0.0,1.0,0.0,0.0,546019733972463616,0.0,1.0,0.0,0.0
87,535832535524065280,0.441,0.559,0.0,0.7269,540577950098522112,0.808,0.192,0.0,0.6369
88,498155756307243008,0.0,1.0,0.0,0.0,498165164748046336,0.0,1.0,0.0,0.0
89,487288103048998912,0.0,1.0,0.0,0.0,487378852310941696,0.293,0.707,0.0,0.4404
90,482211230937927680,0.521,0.479,0.0,0.765,482225530373439488,0.12933333333333333,0.8706666666666667,0.0,0.255
91,475337146207727616,0.0,1.0,0.0,0.0,475356310238539776,0.0,1.0,0.0,0.0
92,474971486323634177,0.161,0.839,0.0,0.3612,474978051852218369,0.18533333333333335,0.8146666666666667,0.0,0.2526333333333333
93,466606545547956224,0.22,0.78,0.0,0.4767,467269895500357633,0.341,0.659,0.0,0.4767
94,457202960456769536,0.0,1.0,0.0,0.0,463897306702434305,0.0,1.0,0.0,0.0
95,452120447471988736,0.216,0.784,0.0,0.5106,452125558433148928,0.198,0.659,0.144,0.2263
96,452120447471988736,0.216,0.784,0.0,0.5106,452170229221949440,0.0,1.0,0.0,0.0
97,452120447471988736,0.216,0.784,0.0,0.5106,455570267381968896,0.202,0.798,0.0,0.5106
98,449592386369638400,0.1665,0.8335,0.0,0.3057,451177524757008384,0.282,0.718,0.0,0.7088
99,445554258360795136,0.0,1.0,0.0,0.0,445554577199624193,0.2215,0.2785,0.0,0.07555
100,443136400255242240,0.131,0.869,0.0,0.148,443138425655283712,0.0,1.0,0.0,0.0
101,432953598465409024,0.271,0.729,0.0,0.3818,432967186580115456,0.375,0.625,0.0,0.6369
102,431155267544170497,0.434,0.566,0.0,0.3182,431155718683512832,0.315,0.685,0.0,0.3182
103,428635369244876800,0.0,0.879,0.121,-0.1326,428637409933537282,0.0,1.0,0.0,0.0
104,426775929386332161,0.155,0.845,0.0,0.20095,427390271593381889,0.0,0.0,1.0,-0.5719
105,423576051621453824,0.0,1.0,0.0,0.0,423577200164884480,0.0,1.0,0.0,0.0
106,423576051621453824,0.0,1.0,0.0,0.0,423628521949241344,0.432,0.5680000000000001,0.0,0.53505
107,415552236593229824,0.0,1.0,0.0,0.0,415552716086054912,0.0,1.0,0.0,0.0
108,413749342470938625,0.0,1.0,0.0,0.0,413751938434334720,0.1925,0.8075,0.0,0.34165
109,410136470801088512,0.263,0.737,0.0,0.3612,410148071990124547,0.097,0.81,0.093,0.0129
110,404380505107206144,0.0,1.0,0.0,0.0,404381143832997888,0.141,0.859,0.0,0.3164
111,401822849733640192,0.1085,0.8915,0.0,0.1806,402122967909277696,0.588,0.41200000000000003,0.0,0.6287499999999999
112,398183095418900480,0.0,1.0,0.0,0.0,400093178574798848,0.0,1.0,0.0,0.0
113,396344632633614336,0.712,0.288,0.0,0.8126,396398844784558080,0.3245,0.6755,0.0,0.4063
114,394161648203620352,0.0,0.763,0.237,-0.4767,401868494155034625,0.0,0.78,0.22,-0.4767
115,383662477113716736,0.238,0.762,0.0,0.3612,394216937414078464,0.8734999999999999,0.1265,0.0,0.6011
116,356896837497659393,0.173,0.827,0.0,0.3182,372456597559476224,0.0,1.0,0.0,0.0
117,355839203013165057,0.0,0.849,0.151,-0.1531,358348837091418113,0.4,0.531,0.069,0.22915000000000002
118,298482146971090944,0.144,0.763,0.093,0.0516,344564797934796801,0.5,0.5,0.0,0.2463
119,288294282866094080,0.1015,0.8985000000000001,0.0,0.21075,288302443006156801,0.0,1.0,0.0,0.0
120,282847780685373440,0.381,0.619,0.0,0.5719,282852170339061761,0.404,0.596,0.0,0.7269
121,282666846304481280,0.301,0.6990000000000001,0.0,0.42195,282777752824868865,0.0,1.0,0.0,0.0
122,281760130620600320,0.091,0.6759999999999999,0.23249999999999998,-0.21315,281761004906479617,0.0,1.0,0.0,0.0
123,278854215865073664,0.294,0.706,0.0,0.3454,278859081119318016,0.223,0.777,0.0,0.3182
124,278183143708692480,0.155,0.845,0.0,0.32905,278344767836938240,0.0,1.0,0.0,0.0
125,277137567395241984,0.259,0.741,0.0,0.6808,278341946110537728,0.0,1.0,0.0,0.0
